,Leadferret Industry,Metadata Indsutry,count
0,ACCOUNTING, MEDIA,1
1,ACCOUNTING,ACCOUNTING,16
2,ACCOUNTING,AEROSPACE AND DEFENSE,1
3,ACCOUNTING,BANKING,1
4,ACCOUNTING,COMMUNICATIONS EQUIPMENT,4
5,ACCOUNTING,DIVERSIFIED CONSUMER SERVICES,3
6,ACCOUNTING,DIVERSIFIED FINANCIAL SERVICES,20
7,ACCOUNTING,FOOD AND BEVERAGES,1
8,ACCOUNTING,FOOD PRODUCTS,1
9,ACCOUNTING,GAS UTILITIES,1
10,ACCOUNTING,GOVERNMENT ADMINISTRATION,1
11,ACCOUNTING,HEALTH CARE PROVIDERS AND SERVICES,1
12,ACCOUNTING,HOSPITAL AND HEALTH CARE,1
13,ACCOUNTING,INSURANCE,2
14,ACCOUNTING,INTERNET SOFTWARE AND SERVICES,4
15,ACCOUNTING,LEGAL SERVICES,1
16,ACCOUNTING,PHARMACEUTICALS,1
17,ACCOUNTING,PROFESSIONAL SERVICES,6
18,ACCOUNTING,RETAIL,1
19,ACCOUNTING,SPECIALIZED CONSUMER SERVICES,1
20,ACCOUNTING,SPECIALTY RETAIL,1
21,ACCOUNTING,TELECOMMUNICATIONS,1
22,ACCOUNTING,WIRELESS TELECOMMUNICATION SERVICES,1
23,AIRLINES/AVIATION,AEROSPACE AND DEFENSE,4
24,AIRLINES/AVIATION,AIRLINES,24
25,AIRLINES/AVIATION,AIRLINES/AVIATION,49
26,AIRLINES/AVIATION,AUTOMOTIVE,1
27,AIRLINES/AVIATION,AVIATION AND AEROSPACE,1
28,AIRLINES/AVIATION,COMPUTER SOFTWARE,1
29,AIRLINES/AVIATION,FINANCIAL SERVICES,1
30,AIRLINES/AVIATION,GAS UTILITIES,1
31,AIRLINES/AVIATION,GOVERNMENT ADMINISTRATION,1
32,AIRLINES/AVIATION,"HOTELS, RESTAURANTS AND LEISURE",3
33,AIRLINES/AVIATION,INTERNET SOFTWARE AND SERVICES,2
34,AIRLINES/AVIATION,"LEISURE, TRAVEL AND TOURISM",1
35,AIRLINES/AVIATION,METALS AND MINING,1
36,AIRLINES/AVIATION,PHARMACEUTICALS,1
37,AIRLINES/AVIATION,REAL ESTATE,1
38,ALTERNATIVE DISPUTE RESOLUTION,ALTERNATIVE DISPUTE RESOLUTION,1
39,ALTERNATIVE DISPUTE RESOLUTION,BUILDING MATERIALS,1
40,ALTERNATIVE DISPUTE RESOLUTION,SPECIALIZED CONSUMER SERVICES,1
41,ALTERNATIVE MEDICINE,"HEALTH, WELLNESS AND FITNESS",1
42,ANIMATION,ANIMATION,1
43,ANIMATION,COMPUTER SOFTWARE,1
44,ANIMATION,INTERNET SOFTWARE AND SERVICES,1
45,ANIMATION,MEDIA,4
46,APPAREL AND FASHION,AEROSPACE AND DEFENSE,1
47,APPAREL AND FASHION,APPAREL AND FASHION,39
48,APPAREL AND FASHION,BANKS,1
49,APPAREL AND FASHION,CAPITAL MARKETS,1
50,APPAREL AND FASHION,COMMUNICATIONS EQUIPMENT,1
51,APPAREL AND FASHION,CONSTRUCTION AND ENGINEERING,1
52,APPAREL AND FASHION,EDUCATION SERVICES,1
53,APPAREL AND FASHION,HEALTH CARE EQUIPMENT AND SUPPLIES,2
54,APPAREL AND FASHION,HIGHER EDUCATION,1
55,APPAREL AND FASHION,"HOTELS, RESTAURANTS AND LEISURE",2
56,APPAREL AND FASHION,INTERNET SOFTWARE AND SERVICES,4
57,APPAREL AND FASHION,LOGISTICS AND SUPPLY CHAIN,1
58,APPAREL AND FASHION,MEDICAL DEVICES,1
59,APPAREL AND FASHION,PHARMACEUTICALS,1
60,APPAREL AND FASHION,PROFESSIONAL SERVICES,1
61,APPAREL AND FASHION,RETAIL,2
62,APPAREL AND FASHION,"TEXTILES, APPAREL AND LUXURY GOODS",58
63,ARCHITECTURE AND PLANNING,ARCHITECTURE AND PLANNING,2
64,ARCHITECTURE AND PLANNING,AUTOMOTIVE,1
65,ARCHITECTURE AND PLANNING,COMMUNICATIONS EQUIPMENT,2
66,ARCHITECTURE AND PLANNING,CONSTRUCTION,1
67,ARCHITECTURE AND PLANNING,CONSTRUCTION AND ENGINEERING,2
68,ARCHITECTURE AND PLANNING,EDUCATION SERVICES,1
69,ARCHITECTURE AND PLANNING,FINANCIAL SERVICES,1
70,ARCHITECTURE AND PLANNING,FOOD AND STAPLES RETAILING,1
71,ARCHITECTURE AND PLANNING,INTERNET SOFTWARE AND SERVICES,1
72,ARCHITECTURE AND PLANNING,PROFESSIONAL SERVICES,9
73,ARTS AND CRAFTS,ARTS AND CRAFTS,1
74,ARTS AND CRAFTS,GOVERNMENT ADMINISTRATION,1
75,ARTS AND CRAFTS,INTERNET SOFTWARE AND SERVICES,1
76,ARTS AND CRAFTS,METALS AND MINING,1
77,ARTS AND CRAFTS,RETAIL,1
78,ARTS AND CRAFTS,"TEXTILES, APPAREL AND LUXURY GOODS",1
79,AUTOMOTIVE,AEROSPACE AND DEFENSE,1
80,AUTOMOTIVE,AUTOMOTIVE,144
81,AUTOMOTIVE,BROADCAST MEDIA,1
82,AUTOMOTIVE,COMMUNICATIONS EQUIPMENT,1
83,AUTOMOTIVE,COMPUTER SOFTWARE,1
84,AUTOMOTIVE,CONSTRUCTION AND ENGINEERING,1
85,AUTOMOTIVE,DIVERSIFIED CONSUMER SERVICES,1
86,AUTOMOTIVE,FOOD AND STAPLES RETAILING,1
87,AUTOMOTIVE,FOOD PRODUCTS,1
88,AUTOMOTIVE,"HOTELS, RESTAURANTS AND LEISURE",1
89,AUTOMOTIVE,HOUSEHOLD DURABLES,1
90,AUTOMOTIVE,INDUSTRIAL CONGLOMERATES,2
91,AUTOMOTIVE,INSURANCE,1
92,AUTOMOTIVE,INTERNET SOFTWARE AND SERVICES,2
93,AUTOMOTIVE,MACHINERY,3
94,AUTOMOTIVE,MANAGEMENT CONSULTING,1
95,AUTOMOTIVE,MARKETING AND ADVERTISING,1
96,AUTOMOTIVE,MECHANICAL OR INDUSTRIAL ENGINEERING,3
97,AUTOMOTIVE,MEDICAL DEVICES,1
98,AUTOMOTIVE,METALS AND MINING,1
99,AUTOMOTIVE,PROFESSIONAL SERVICES,1
100,AUTOMOTIVE,PUBLISHING,1
101,AUTOMOTIVE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS",1
102,AUTOMOTIVE,"TEXTILES, APPAREL AND LUXURY GOODS",1
103,AUTOMOTIVE,TRANSPORTATION,2
104,AVIATION AND AEROSPACE,AEROSPACE AND DEFENSE,10
105,AVIATION AND AEROSPACE,AIRLINES,2
106,AVIATION AND AEROSPACE,AIRLINES/AVIATION,1
107,AVIATION AND AEROSPACE,AVIATION AND AEROSPACE,14
108,AVIATION AND AEROSPACE,COMMERCIAL SERVICES AND SUPPLIES,1
109,AVIATION AND AEROSPACE,DIVERSIFIED CONSUMER SERVICES,2
110,AVIATION AND AEROSPACE,ELECTRICAL/ELECTRONIC MANUFACTURING,1
111,AVIATION AND AEROSPACE,INTERNET SOFTWARE AND SERVICES,3
112,AVIATION AND AEROSPACE,LOGISTICS AND SUPPLY CHAIN,1
113,AVIATION AND AEROSPACE,METALS AND MINING,2
114,AVIATION AND AEROSPACE,PROFESSIONAL SERVICES,1
115,BANKING,BANKING,130
116,BANKING,BANKS,43
117,BANKING,CAPITAL MARKETS,1
118,BANKING,COMPUTER SOFTWARE,1
119,BANKING,DIVERSIFIED FINANCIAL SERVICES,40
120,BANKING,FINANCIAL SERVICES,3
121,BANKING,GAS UTILITIES,1
122,BANKING,HOUSEHOLD DURABLES,1
123,BANKING,INSURANCE,1
124,BANKING,INTERNET SOFTWARE AND SERVICES,3
125,BANKING,INVESTMENT BANKING,1
126,BANKING,MEDIA,1
127,BANKING,"TEXTILES, APPAREL AND LUXURY GOODS",1
