,ind1,ind2,combined
0,LEGAL SERVICES,INTERNET SOFTWARE AND SERVICES,LEGAL SERVICES|INTERNET SOFTWARE AND SERVICES
1,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
2,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
3,GRAPHIC DESIGN,"TEXTILES, APPAREL AND LUXURY GOODS","GRAPHIC DESIGN|TEXTILES, APPAREL AND LUXURY GOODS"
4,MARKETING AND ADVERTISING,COMMERCIAL SERVICES AND SUPPLIES,MARKETING AND ADVERTISING|COMMERCIAL SERVICES AND SUPPLIES
5,ENTERTAINMENT,"HOTELS, RESTAURANTS AND LEISURE","ENTERTAINMENT|HOTELS, RESTAURANTS AND LEISURE"
6,INSURANCE,DIVERSIFIED FINANCIAL SERVICES,INSURANCE|DIVERSIFIED FINANCIAL SERVICES
7,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
8,NONPROFIT ORGANIZATION MANAGEMENT,EDUCATION SERVICES,NONPROFIT ORGANIZATION MANAGEMENT|EDUCATION SERVICES
9,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
10,INTERNET,COMMERCIAL SERVICES AND SUPPLIES,INTERNET|COMMERCIAL SERVICES AND SUPPLIES
11,NEWSPAPERS,MEDIA,NEWSPAPERS|MEDIA
12,COMPUTER SOFTWARE,DIVERSIFIED FINANCIAL SERVICES,COMPUTER SOFTWARE|DIVERSIFIED FINANCIAL SERVICES
13,INTERNET,CAPITAL MARKETS,INTERNET|CAPITAL MARKETS
14,MARKETING AND ADVERTISING,COMMERCIAL SERVICES AND SUPPLIES,MARKETING AND ADVERTISING|COMMERCIAL SERVICES AND SUPPLIES
15,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
16,FOOD PRODUCTION,FOOD PRODUCTS,FOOD PRODUCTION|FOOD PRODUCTS
17,BROADCAST MEDIA,MEDIA,BROADCAST MEDIA|MEDIA
18,"HEALTH, WELLNESS AND FITNESS","TEXTILES, APPAREL AND LUXURY GOODS","HEALTH, WELLNESS AND FITNESS|TEXTILES, APPAREL AND LUXURY GOODS"
19,ACCOUNTING,DIVERSIFIED FINANCIAL SERVICES,ACCOUNTING|DIVERSIFIED FINANCIAL SERVICES
20,INTERNET,MEDIA,INTERNET|MEDIA
21,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
22,INFORMATION TECHNOLOGY AND SERVICES,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","INFORMATION TECHNOLOGY AND SERVICES|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
23,LAW PRACTICE,SPECIALIZED CONSUMER SERVICES,LAW PRACTICE|SPECIALIZED CONSUMER SERVICES
24,COMPUTER SOFTWARE,COMMERCIAL SERVICES AND SUPPLIES,COMPUTER SOFTWARE|COMMERCIAL SERVICES AND SUPPLIES
25,MACHINERY,CONSTRUCTION AND ENGINEERING,MACHINERY|CONSTRUCTION AND ENGINEERING
26,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
27,PUBLISHING,SOFTWARE,PUBLISHING|SOFTWARE
28,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
29,ENTERTAINMENT,"HOTELS, RESTAURANTS AND LEISURE","ENTERTAINMENT|HOTELS, RESTAURANTS AND LEISURE"
30,FOOD PRODUCTION,FOOD PRODUCTS,FOOD PRODUCTION|FOOD PRODUCTS
31,COMPUTER AND NETWORK SECURITY,COMMUNICATIONS EQUIPMENT,COMPUTER AND NETWORK SECURITY|COMMUNICATIONS EQUIPMENT
32,LEGAL SERVICES,INTERNET SOFTWARE AND SERVICES,LEGAL SERVICES|INTERNET SOFTWARE AND SERVICES
33,RECREATIONAL FACILITIES AND SERVICES,EDUCATION SERVICES,RECREATIONAL FACILITIES AND SERVICES|EDUCATION SERVICES
34,BUILDING MATERIALS,SPECIALTY RETAIL,BUILDING MATERIALS|SPECIALTY RETAIL
35,RETAIL,INTERNET SOFTWARE AND SERVICES,RETAIL|INTERNET SOFTWARE AND SERVICES
36,ENTERTAINMENT,MEDIA,ENTERTAINMENT|MEDIA
37,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
38,APPAREL AND FASHION,"TEXTILES, APPAREL AND LUXURY GOODS","APPAREL AND FASHION|TEXTILES, APPAREL AND LUXURY GOODS"
39,ARCHITECTURE AND PLANNING,PROFESSIONAL SERVICES,ARCHITECTURE AND PLANNING|PROFESSIONAL SERVICES
40,INFORMATION TECHNOLOGY AND SERVICES,COMMUNICATIONS EQUIPMENT,INFORMATION TECHNOLOGY AND SERVICES|COMMUNICATIONS EQUIPMENT
41,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
42,HOSPITALITY,"HOTELS, RESTAURANTS AND LEISURE","HOSPITALITY|HOTELS, RESTAURANTS AND LEISURE"
43,INTERNET,"TEXTILES, APPAREL AND LUXURY GOODS","INTERNET|TEXTILES, APPAREL AND LUXURY GOODS"
44,LAW PRACTICE,HEALTH CARE PROVIDERS AND SERVICES,LAW PRACTICE|HEALTH CARE PROVIDERS AND SERVICES
45,COMPUTER SOFTWARE,PROFESSIONAL SERVICES,COMPUTER SOFTWARE|PROFESSIONAL SERVICES
46,FINANCIAL SERVICES,INTERNET SOFTWARE AND SERVICES,FINANCIAL SERVICES|INTERNET SOFTWARE AND SERVICES
47,RETAIL,DIVERSIFIED CONSUMER SERVICES,RETAIL|DIVERSIFIED CONSUMER SERVICES
48,COMPUTER SOFTWARE,PROFESSIONAL SERVICES,COMPUTER SOFTWARE|PROFESSIONAL SERVICES
49,RETAIL,SPECIALTY RETAIL,RETAIL|SPECIALTY RETAIL
50,RETAIL,"HOTELS, RESTAURANTS AND LEISURE","RETAIL|HOTELS, RESTAURANTS AND LEISURE"
51,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
52,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
53,RETAIL,PHARMACEUTICALS,RETAIL|PHARMACEUTICALS
54,APPAREL AND FASHION,"TEXTILES, APPAREL AND LUXURY GOODS","APPAREL AND FASHION|TEXTILES, APPAREL AND LUXURY GOODS"
55,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
56,REAL ESTATE,DIVERSIFIED CONSUMER SERVICES,REAL ESTATE|DIVERSIFIED CONSUMER SERVICES
