,industry,total_score,dummies
0,information technology and services,3.45,1
1,internet,3.44,1
2,construction,3.46,1
3,design,3.42,1
4,philanthropy,3.44,1
5,marketing and advertising,3.44,1
6,computer software,3.37,1
7,search engines and internet portals,4.42,1
8,media and internet,4.42,1
9,health,2.45,1
10,wellness and fitness,2.45,1
11,food and beverages,10.47,1
12,internet,10.44,1
13,health,3.43,1
14,wellness and fitness,3.43,1
15,information services,10.47,1
16,internet,3.4,1
17,computer software,3.46,1
18,publishing,10.46,1
19,farming,3.45,1
20,information technology and services,10.45,1
21,computer software,2.43,1
22,internet,3.43,1
23,financial services,3.45,1
24,computer games,10.45,1
25,information technologies and services,3.42,1
26,computer software,3.32,1
27,information services,3.48,1
28,information services,3.46,1
29,management consulting,3.45,1
30,advertising and marketing,10.36,1
31,business services,10.36,1
32,information technology and services,3.47,1
33,computer software,3.44,1
34,medical devices,3.44,1
35,computer software,10.48,1
36,financial services,4.43,1
37,marketing and advertising,3.44,1
38,information technology and services,3.39,1
39,renewables and environment,3.46,1
40,e-learning,3.45,1
41,consumer goods,3.44,1
42,information technology and services,3.44,1
43,online media,10.44,1
44,staffing and recruiting,10.45,1
45,software development and design,3.43,1
46,software,3.43,1
47,engineering software,3.43,1
48,publishing,10.43,1
49,information technology and services,2.42,1
50,information technology and services,3.45,1
51,information technology and services,3.38,1
52,online media,10.42,1
53,computer software,10.45,1
54,apparel retail,3.3,1
55,information technology and services,3.43,1
56,retail,3.36,1
57,food production,10.46,1
58,international affairs,3.43,1
59,computer software,3.37,1
60,internet,10.45,1
61,computer software,3.42,1
62,computer software,10.47,1
63,information technology and services,10.44,1
64,internet service providers,4.42,1
65,website hosting and internet-related services,4.42,1
66,telecommunications,4.42,1
67,custom software and technical consulting,4.42,1
68,software development and design,4.42,1
69,business services,4.42,1
70,software,4.42,1
71,search engines and internet portals,4.42,1
72,media and internet,4.42,1
73,computer software,2.1,1
74,broadcast media,3.46,1
75,internet,3.45,1
76,financial services,3.3,1
77,computer software,10.48,1
78,information technology and services,10.47,1
79,outsourcing/offshoring,3.47,1
80,human resources,3.44,1
81,government administration,3.44,1
82,sports,3.42,1
83,apparel and fashion,3.41,1
84,airlines/aviation,3.47,1
85,computer software,3.45,1
86,primary/secondary education,3.47,1
87,insurance,10.48,1
88,information technology and services,3.44,1
89,information technology and services,3.45,1
90,computer software,3.41,1
91,computer software,3.44,1
92,health,10.45,1
93,wellness and fitness,10.45,1
94,computer software,10.46,1
95,information technology and services,10.47,1
96,internet,3.44,1
97,information technology and services,3.11,1
98,information technology and services,10.46,1
99,internet,3.41,1
100,entertainment,3.43,1
101,financial services,3.41,1
102,research,10.37,1
103,human resources,10.47,1
104,internet,3.47,1
105,information technology and services,3.45,1
106,information technology and services,2.46,1
107,computer software,10.47,1
108,retail,3.46,1
109,computer software,10.46,1
110,computer software,10.5,1
111,e-learning,10.46,1
112,computer software,3.41,1
113,events services,3.34,1
114,law practice,10.5,1
115,information technology and services,3.47,1
116,internet,10.46,1
117,retail,3.44,1
118,nonprofit organization management,3.43,1
119,financial services,10.46,1
120,internet,3.45,1
121,fund-raising,10.9,1
122,computer software,2.42,1
123,computer games,3.47,1
124,information technology and services,3.46,1
125,telecommunications,2.42,1
126,hospitals and clinics,3.43,1
127,healthcare,3.43,1
128,oil and energy,3.43,1
129,software development and design,4.45,1
130,software,4.45,1
131,engineering software,4.45,1
132,business intelligence software(bi),4.45,1
133,enterprise resource planning software(erp),4.45,1
134,software development and design,10.48,1
135,software,10.48,1
136,healthcare software,10.48,1
137,computer software,10.77,1
138,oil and energy,10.48,1
139,computer software,3.47,1
140,marketing and advertising,10.44,1
141,marketing and advertising,2.47,1
142,education management,3.4,1
143,computer software,10.48,1
144,computer software,2.42,1
145,internet,3.76,1
146,international trade and development,4.41,1
147,information technology and services,3.47,1
148,computer software,3.47,1
149,computer and network security,2.42,1
150,insurance,3.43,1
151,hospitals and clinics,3.43,1
152,healthcare,3.43,1
153,telecommunications,2.42,1
154,internet,3.45,1
155,computer software,3.47,1
156,internet,10.48,1
157,information technology and services,3.44,1
158,membership organizations,3.46,1
159,organizations,3.46,1
160,custom software and technical consulting,3.46,1
161,software,3.46,1
162,marketing and advertising,3.45,1
