,total_score,industry
0,3.45,Information Technology and Services
1,3.44,Internet
3,3.46,Construction
5,3.42,Design
6,3.44,Philanthropy
7,3.44,Marketing and advertising
8,3.37,Computer Software
9,4.42,"Search Engines & Internet Portals,Media & Internet"
10,2.45,"Health, Wellness and Fitness"
12,10.47,Food & Beverages
13,10.44,internet
14,3.43,"Health, Wellness and Fitness"
17,10.47,information services
18,3.4,Internet
19,3.46,Computer Software
20,10.46,Publishing
21,3.45,Farming
22,10.45,Information Technology and Services
24,2.43,Computer Software
25,3.43,internet
26,3.45,Financial Services
28,10.45,Computer Games
29,3.42,information technologies and services
30,3.32,Computer Software
31,3.48,Information Services
32,3.46,Information Services
33,3.45,Management consulting
35,10.36,"Advertising & Marketing,Business Services"
36,3.47,Information Technology and Services
37,3.44,Computer Software
38,3.44,Medical Devices
39,10.48,Computer Software
40,4.43,Financial Services
41,3.44,Marketing and Advertising
42,3.39,Information Technology and Services
43,3.46,Renewables & Environment
44,3.45,E-Learning
45,3.44,Consumer Goods
46,3.44,Information Technology and Services
48,10.44,online media
49,10.45,staffing and recruiting
50,3.43,"Software Development & Design,Software,Engineering Software"
51,10.43,Publishing
54,2.42,Information Technology and Services
55,3.45,Information Technology and Services
56,3.38,Information Technology and Services
57,10.42,Online Media
58,10.45,Computer Software
59,3.3,Apparel Retail
60,3.43,Information Technology and Services
61,3.36,Retail
62,10.46,Food Production
63,3.43,International Affairs
65,3.37,Computer Software
66,10.45,Internet
67,3.42,Computer Software
70,10.47,Computer Software
71,10.44,Information Technology and Services
72,4.42,"Internet Service Providers, Website Hosting & Internet-related Services,Telecommunications,Custom Software & Technical Consulting,Software Development & Design,Business Services,Software,Search Engines & Internet Portals,Media & Internet"
73,2.1,Computer Software
74,3.46,Broadcast Media
76,3.45,Internet
77,3.3,Financial Services
78,10.48,Computer Software
79,10.47,Information Technology and Services
80,3.47,Outsourcing/Offshoring
83,3.44,Human Resources
84,3.44,Government Administration
85,3.42,Sports
87,3.41,Apparel & Fashion
88,3.47,Airlines/Aviation
89,3.45,Computer Software
90,3.47,Primary/Secondary Education
91,10.48,Insurance
92,3.44,Information Technology and Services
94,3.45,Information Technology and Services
95,3.41,Computer Software
96,3.44,Computer Software
97,10.45,"Health, Wellness and Fitness"
98,10.46,Computer Software
99,10.47,Information Technology and Services
100,3.44,Internet
101,3.11,Information Technology and Services
103,10.46,Information Technology and Services
104,3.41,Internet
105,3.43,Entertainment
106,3.41,Financial Services
107,10.37,Research
108,10.47,Human Resources
109,3.47,Internet
110,3.45,Information Technology and Services
111,2.46,Information Technology and Services
112,10.47,Computer Software
113,3.46,Retail
114,10.46,Computer Software
115,10.5,Computer Software
116,10.46,E-Learning
118,3.41,Computer Software
119,3.34,Events Services
120,10.5,Law Practice
122,3.47,Information Technology and Services
123,10.46,Internet
124,3.44,Retail
125,3.43,Nonprofit Organization Management
127,10.46,Financial Services
130,3.45,Internet
131,10.9,Fund-Raising
133,2.42,Computer Software
134,3.47,Computer games
135,3.46,Information Technology and Services
136,2.42,Telecommunications
137,3.43,"Hospitals & Clinics,Healthcare"
138,3.43,Oil & Energy
140,4.45,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
141,10.48,"Software Development & Design,Software,Healthcare Software"
143,10.77,Computer Software
144,10.48,Oil & Energy
145,3.47,Computer software
146,10.44,Marketing and Advertising
147,2.47,Marketing and Advertising
148,3.4,Education Management
150,10.48,Computer Software
151,2.42,Computer Software
152,3.76,Internet
154,4.41,International Trade and Development
155,3.47,Information Technology and Services
156,3.47,Computer Software
157,2.42,Computer & Network Security
158,3.43,"Insurance,Hospitals & Clinics,Healthcare"
159,2.42,Telecommunications
160,3.45,Internet
161,3.47,Computer Software
163,10.48,Internet
164,3.44,Information Technology and Services
165,3.46,"Membership Organizations,Organizations,Custom Software & Technical Consulting,Software"
166,3.45,Marketing and Advertising
167,10.47,Computer Software
169,10.45,Computer Software
170,3.39,Real Estate
171,3.46,Computer Software
172,3.46,Computer Software
173,3.45,Education Management
174,3.45,Information Technology and Services
175,3.45,Online Media
176,10.47,"
Biotechnology"
177,4.46,Information Technology 
178,3.45,Marketing and Advertising
180,3.46,Financial Services
184,3.43,Computer Software
185,3.42,Consumer Services
186,10.49,Internet
188,10.49,"Commercial & Residential Construction,Construction"
189,3.47,Internet
190,10.63,"Internet
"
192,10.48,Computer Software
193,3.47,Financial Services
195,3.44,Restaurants
196,3.42,Information Technology and Services
198,3.46,Computer Software
199,4.45,"Leisure, Travel & Tourism"
200,10.48,Computer software
201,10.47,Apparel & Fashion
202,10.37,Financial Services
203,10.47,E-Learning
205,3.45,Internet
206,3.47,Computer Software
207,9.49,Computer Software
208,3.4,Information Technology and Services
209,3.45,Computer Software
210,3.45,Computer Games
211,10.45,Veterinary
212,3.46,Information Technology and Services
213,3.3,Education
214,10.49,Computer Games
215,3.45,"Consumer Electronics,Consumer Goods,Manufacturing,Boats & Submarines,Commercial & Residential Construction,Water & Water Treatment,Construction,Energy, Utilities & Waste Treatment,Semiconductor & Semiconductor Equipment,Electronics"
216,10.46,Investment Banking
217,3.45,Computer Software
218,3.42,Media Production
219,10.44,Entertainment
220,3.39,Computer Software
221,3.44,Airlines/Aviation
222,3.44,Internet
223,10.52,Banking
224,3.4,Media Production
226,3.44,Marketing and Advertising
227,10.45,Computer Software
228,3.44,Information Technology and Services
229,3.38,Computer Software
230,10.5,Defense & Space
231,10.36,Transportation/Trucking/Railroad
233,10.46,Broadcast Media
234,10.48,Internet
236,3.45,Biotechnology
237,10.49,Computer Hardware
238,10.48,Entertainment
240,3.42,Marketing and Advertising
241,10.46,Entertainment
242,3.17,Computer Software
243,10.47,Financial Services
244,3.46,Government Administration
245,10.47,Design
246,3.21,Computer Software
247,3.44,Computer Software
248,3.46,Government Administration
250,3.42,Education Management
251,10.47,Education Management
252,5.0,internet
253,10.45,Computer Software
254,4.4,Computer Software
255,10.49,information Technology and Services
256,10.5,Information Technology and Services
257,3.27,Information Technology and Services
258,10.48,"Health, Wellness and Fitness"
259,10.49,Internet
260,3.43,Computer Software
262,3.44,Computer Software
263,10.47,Computer Software
264,10.47,Museums and Institutions
265,4.41,"Engineering Software,Software Development & Design,Software"
266,10.47,Fund raising
267,3.45,Publishing
268,10.46,Information Technology and Services
269,3.41,Computer Software
270,10.47,Computer Software
271,10.6,Computer Software
272,3.46,Internet
273,10.59,Accounting
275,4.45,Computer Software
276,10.45,Internet
278,3.47,Computer Networking
279,10.46,"Financial Services
"
280,3.42,Computer Software
281,3.42,Internet
283,3.45,Computer Software
284,10.47,"Government Administration
"
285,3.14,"Leisure, Travel & Tourism
"
286,10.46,Restaurants
287,3.43,Oil & Energy
288,3.45,"Legal Services
"
289,10.48,Supermarkets
290,10.47,Internet
291,10.48,"Information Technology and Services
"
292,10.48,Retail
293,10.46,"Computer Games
"
294,10.45,Internet
295,3.38,"Industrial Automation
"
296,3.79,Internet
297,4.35,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
298,3.37,Information Technology and Services
299,10.5,"Information Technology and Services
"
301,10.47,Music
302,3.41,Computer Software
303,3.46,"Information Technology and Services
"
304,10.46,"Online Media
"
305,3.45,Internet
306,3.43,Telecommunications
307,3.44,Internet
308,3.48,"Information Technology and Services
"
309,10.34,Internet
310,3.43,Internet
311,3.44,Accounting
312,10.44,"Finance,Accounting & Accounting Services,Business Services"
313,10.48,"Marketing and Advertising
"
314,3.41,"Information Services
"
315,10.47,"Health, Wellness and Fitness
"
316,10.49,"Leisure, Travel & Tourism
"
317,10.43,Financial Services
318,10.37,Insurance
319,3.43,Internet
320,3.42,Internet
321,3.47,Computer Software
322,3.19,Internet
323,3.46,"Health, Wellness and Fitness
"
324,10.94,Internet
327,3.48,Printing
328,3.43,"Primary/Secondary Education
"
329,10.47,"Computer Software
"
330,3.21,"Education Management
"
331,3.43,"Information Technology and Services
"
334,10.45,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
338,8.48,"Health, Wellness and Fitness"
339,2.44,"Textiles & Apparel,Sporting Goods,Consumer Goods,Advertising & Marketing,Sporting & Recreational Equipment,Business Services,Manufacturing,Retail"
340,4.42,Internet
341,2.54,"Leisure, Travel & Tourism"
342,2.44,Information Technology and Services
343,10.47,hospital and health care
344,4.48,Higher Education
345,2.46,Defense & Space
346,2.46,"Travel Agencies & Services,Consumer Services"
347,8.49,"Software Development & Design,Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Engineering Software"
348,2.46,International Trade and Development
349,4.41,"Airlines, Airports & Air Services,Transportation"
350,4.48,Computer Software
351,4.48,Information Technology and Services
352,9.47,Internet
353,2.44,Computer Software
354,4.45,computet software
355,5.54,Information Technology and Services
356,2.46,"Software Development & Design,Software,Information & Document Management,Business Services"
357,2.46,"Health, Wellness and Fitness"
358,2.4,Hospital & Health Care
360,2.46,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
361,3.47,"Leisure, Travel & Tourism"
362,3.47,"Airlines, Airports & Air Services,Transportation"
363,4.47,Human Resources
364,4.45,Information Technology and Services
365,4.46,Hospital & Health Care
366,2.46,Real Estate
367,4.49,Financial Services
368,2.46,Publishing
369,10.47,Computer software
370,3.45,Marketing and advertising
371,2.4,"Software Development & Design,Software,Test & Measurement Equipment,Manufacturing,Energy, Utilities & Waste Treatment"
372,8.43,Information Technology and Services
373,8.5,Internet
374,2.46,Internet
375,4.44,Computer Software
376,2.46,Telecommunications
377,2.49,"Software Development & Design,Software,Financial, Legal & HR Software"
380,4.48,Internet
381,3.46,Computer Games
382,8.45,Marketing and Advertising
383,3.43,Internet
384,3.45,Information Technology and Services
385,3.45,Financial Services
387,2.37,Computer Software
388,10.45,Information Technology and Services
389,3.45,Marketing and Advertising
390,3.41,Sports
391,4.5,"Medical Testing & Clinical Laboratories,Healthcare,Drug Manufacturing & Research,Pharmaceuticals,Business Services,Biotechnology"
393,5.4,Computer Software
394,3.45,Transportation/Trucking/Railroad
395,2.44,Information Services
396,4.36,"Search Engines & Internet Portals,Media & Internet,Publishing"
398,3.41,Financial Services
399,4.5,Information Technology and Services
400,3.46,Financial Services
401,4.4,"Software Development & Design,Software,Custom Software & Technical Consulting"
402,4.41,Computer Software
403,3.45,Information Technology and Services
404,3.45,Research
405,3.63,Telecommunications
406,3.48,Higher Education
409,2.44,"Software Development & Design,Software,Engineering Software,Content & Collaboration Software"
410,4.39,"Freight & Logistics Services,Transportation"
411,3.4,Computer Software
412,3.47,"Search Engines & Internet Portals,Media & Internet"
413,3.46,Accounting
414,4.45,Renewables & Environment
416,3.47,"Apparel & Accessories,Retail,Textiles & Apparel,Consumer Goods,Manufacturing"
417,7.41,"Search Engines & Internet Portals,Media & Internet"
418,2.45,Information Technology and Services
419,10.48,Events Services
420,2.45,"Search Engines & Internet Portals,Media & Internet,Apparel & Accessories,Retail"
421,3.44,Telecommunications
422,7.44,"Manufacturing,Telecommunication Equipment,Computer Networking Equipment,Computer Equipment & Peripherals,Telecommunications,Internet Service Providers, Website Hosting & Internet-related Services"
423,3.4,automotive
424,4.37,Financial Services
425,10.47,"Call Centers & Business Centers,Business Services,Telecommunications"
426,3.45,Research
427,4.41,Information Technology and Services
429,4.41,Libraries
430,4.46,Computer Software
431,3.45,Airlines/Aviation
432,4.36,Design
433,4.55,Computer Software
435,3.45,Computer & Network Security
436,3.46,Higher Education
437,3.41,Investment Management
438,3.47,Writing and Editing
440,3.44,"Consumer Electronics,Consumer Goods,Manufacturing"
441,3.44,Information Technology and Services
442,4.41,Financial Services
443,3.43,"Petrochemicals,Chemicals, Petrochemicals, Glass & Gases,Manufacturing,Electricity, Oil & Gas,Energy, Utilities & Waste Treatment,Chemicals,Gas Stations, Convenience & Liquor Stores,Retail"
444,3.47,Design
445,2.45,Information Technology and Services
446,3.47,Public Safety
447,3.46,Electrical/Electronic Manufacturing
448,2.44,"Advertising & Marketing,Business Services,Software Development & Design,Software"
450,8.45,"Charitable Organizations & Foundations,Organizations"
451,3.44,Venture Capital & Private Equity
452,3.47,Telecommunications
453,3.45,Telecommunications
454,10.41,"Flowers, Gifts & Specialty,Retail"
455,3.45,Computer software
456,2.45,Financial Services
457,4.46,Computer Software
459,4.49,Computer Software
460,3.45,"Software Development & Design,Software,Engineering Software"
462,3.46,Information Technology and Services
463,3.46,Financial Services
464,2.47,Financial Services
465,4.46,Banking
466,3.46,Transportation/Trucking/Railroad
467,4.46,Computer software
468,4.46,Information Technology and Services
469,2.44,Information Technology and Services
470,3.47,Higher Education
471,5.45,Computer software
472,3.44,internet
474,10.46,"Publishing,Media & Internet"
475,3.46,Marketing and Advertising
476,3.46,"Health, Wellness and Fitness"
477,3.44,Medical Devices
478,4.45,"Software Development & Design,Software,Custom Software & Technical Consulting,Healthcare Software"
479,3.45,Information Technology and Services
480,4.46,Information Technology and Services
481,3.44,Internet
482,10.48,"Software Development & Design,Software,Custom Software & Technical Consulting"
483,4.44,Environmental Services
484,4.45,Online Media
485,3.44,Nonprofit Organization Management
486,3.5,Consumer Electronics
487,10.45,Airlines/Aviation
491,3.46,Information Technology and Services
492,3.47,Internet
494,3.44,Online Media
495,2.44,"Health, Wellness and Fitness"
496,7.46,Computer Software
497,10.48,Information Technology and Services
498,2.44,Computer Software
499,4.48,Computer Networking
500,10.47,Computer Software
501,3.47,Information Technology and Services
502,10.48,Computer software
503,3.44,Internet
504,10.45,Computer software
505,4.45,Online Media
506,2.44,Automotive
507,4.45,"Advertising & Marketing,Business Services,Software Development & Design,Software,Customer Relationship Management Software(CRM)"
508,2.44,Computer Software
509,10.73,"Software Development & Design,Software"
510,9.4,Information Technology and Services
511,10.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
512,4.42,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
513,3.45,Information Technology and Services
514,3.47,Marketing and Advertising
517,3.44,"Travel Agencies & Services,Consumer Services"
519,4.39,Information Services
520,3.44,studioD
521,4.46,"Software Development & Design,Software,Engineering Software"
523,3.47,"Software Development & Design,Software,Information & Document Management,Business Services,Business Intelligence Software(BI)"
525,3.47,Aviation & Aerospace
526,3.47,information Technology and Services
528,8.4,Computer Software
529,10.45,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
530,2.44,Computer Software
532,8.65,Internet
533,4.82,"Software Development & Design,Software,Engineering Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing"
536,2.44,Consumer Services
537,4.41,"Hospitals & Clinics,Healthcare"
538,3.46,Computer Software
539,2.44,Telecommunications
540,3.47,Information Technology and Services
542,3.44,"Industrial Machinery & Equipment,Manufacturing"
543,10.53,internet
544,2.4,Airlines/Aviation
545,3.45,Electrical/Electronic Manufacturing
546,10.48,Internet
547,3.45,Marketing and Advertising
548,4.42,"Software Development & Design,Software,Custom Software & Technical Consulting"
551,3.46,"Training,Education"
552,2.44,"Medical Devices & Equipment,Manufacturing"
553,2.44,Information Technology and Services
556,3.45,Business Supplies and Equipment
557,3.48,Computer Software
558,3.47,"Health, Wellness and Fitness"
559,3.47,Computer Software
560,4.47,Telecommunications
561,10.41,Higher Education
562,3.48,"Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet"
563,2.46,Internet
564,3.46,Information Technology and Services
565,2.46,Apps and Mobile at Pearson
566,2.46,Computer Software
567,4.46,Financial Services
568,4.43,Information Technology and Services
569,3.44,Information Technology and Services
570,3.46,Online Media
571,10.48,Computer Software
572,3.42,Information Technology and Services
573,10.48,Information Technology and Services
575,3.46,Internet
576,10.48,internet
577,3.46,Hospital & Health Care
578,4.47,Nonprofit Organization Management
579,3.44,Human Resources
580,4.52,"Information Collection & Delivery,Media & Internet,Internet Service Providers, Website Hosting & Internet-related Services,Publishing,Software,Telecommunications,Custom Software & Technical Consulting"
581,3.47,"Software Development & Design,Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Engineering Software"
582,4.45,Market Research
584,3.46,Computer Software
585,10.35,"Sporting & Recreational Equipment,Retail"
587,3.42,Government Relations
588,4.41,Consumer Electronics
589,2.46,Education Management
590,4.41,Financial Services
592,10.47,Automotive
593,3.46,Computer Software
594,4.46,"Telephony & Wireless,Telecommunications"
596,3.46,Nonprofit Organization Management
597,2.46,Media Production
598,2.46,Marketing and Advertising
599,3.41,Transportation/Trucking/Railroad
600,2.47,Computer Software
601,10.47,"Software Development & Design,Software,Engineering Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing"
602,4.41,Computer Software
605,3.46,Computer Software
606,4.47,Gambling & Casinos
607,10.47,Comnsumer Services
608,3.46,Information Technology and Services
609,4.43,Internet
610,2.4,Mechanical or Industrial Engineering
611,3.4,Computer Software
612,2.45,Computer Software
613,2.46,Computer Software
614,4.48,Computer software
615,4.47,"Health, Wellness and Fitness"
616,4.6,Construction
617,4.47,Computer Software
618,4.67,Retail
620,2.46,"Banking,Finance,Engineering Software,Software Development & Design,Software"
621,2.46,Higher Education
622,4.49,Business Supplies and Equipment
623,2.46,Computer Software
624,8.41,Computer Software
625,2.45,Computer software
626,3.48,Internet
627,3.46,Computer Software
628,3.46,Computer Software
629,2.45,"Software Development & Design,Software,Radio Stations,Broadcasting,Media & Internet,Hospitality"
630,3.51,Computer Software
632,3.47,Public Relations and Communications
633,4.46,Internet
634,2.4,"Motor Vehicle Dealers,Retail,Information Collection & Delivery,Media & Internet"
635,3.44,Electrical/Electronic Manufacturing
636,2.45,Computer Software
637,8.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
638,2.46,Broadcast Media
639,2.45,Telecommunications
640,3.46,Computer & Network Security
641,2.44,Design
642,4.45,Internet
643,10.48,Internet
644,3.46,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
646,10.46,E-Learning
647,4.48,"Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet,Content & Collaboration Software"
