,index,0
0,information technology and services,1
1,internet,2
2,construction,4
3,design,6
4,philanthropy,7
5,marketing and advertising,8
6,computer software,9
7,search engines and internet portals,10
8,media and internet,10
9,health,11
10, wellness and fitness,11
11,food and beverages,13
12,internet,14
13,health,15
14, wellness and fitness,15
15,information services,18
16,internet,19
17,computer software,20
18,publishing,21
19,farming,22
20,information technology and services,23
21,computer software,25
22,internet,26
23,financial services,27
24,computer games,29
25,information technologies and services,30
26,computer software,31
27,information services,32
28,information services,33
29,management consulting,34
30,https://www.linkedin.com/in/franktisellano,35
31,advertising and marketing,36
32,business services,36
33,information technology and services,37
34,computer software,38
35,medical devices,39
36,computer software,40
37,financial services,41
38,marketing and advertising,42
39,information technology and services,43
40,renewables and environment,44
41,e-learning,45
42,consumer goods,46
43,information technology and services,47
44,online media,49
45,staffing and recruiting,50
46,software development and design,51
47,software,51
48,engineering software,51
49,publishing,52
50,information technology and services,55
51,information technology and services,56
52,information technology and services,57
53,online media,58
54,computer software,59
55,apparel retail,60
56,information technology and services,61
57,retail,62
58,food production,63
59,international affairs,64
60,computer software,66
61,internet,67
62,computer software,68
63,computer software,71
64,information technology and services,72
65,internet service providers,73
66, website hosting and internet-related services,73
67,telecommunications,73
68,custom software and technical consulting,73
69,software development and design,73
70,business services,73
71,software,73
72,search engines and internet portals,73
73,media and internet,73
74,computer software,74
75,broadcast media,75
76,internet,77
77,financial services,78
78,computer software,79
79,information technology and services,80
80,outsourcing/offshoring,81
81,human resources,84
82,government administration,85
83,sports,86
84,apparel and fashion,88
85,airlines/aviation,89
86,computer software,90
87,primary/secondary education,91
88,insurance,92
89,information technology and services,93
90,information technology and services,95
91,computer software,96
92,computer software,97
93,health,98
94, wellness and fitness,98
95,computer software,99
96,information technology and services,100
97,internet,101
98,information technology and services,102
99,information technology and services,104
100,internet,105
101,entertainment,106
102,financial services,107
103,research,108
104,human resources,109
105,internet,110
106,information technology and services,111
107,information technology and services,112
108,computer software,113
109,retail,114
110,computer software,115
111,computer software,116
112,e-learning,117
113,computer software,119
114,events services,120
115,law practice,121
116,information technology and services,123
117,internet,124
118,retail,125
119,nonprofit organization management,126
120,financial services,128
121,internet,131
122,fund-raising,132
123,computer software,134
124,computer games,135
125,information technology and services,136
126,telecommunications,137
127,hospitals and clinics,138
128,healthcare,138
129,oil and energy,139
130,software development and design,141
131,software,141
132,engineering software,141
133,business intelligence software(bi),141
134,enterprise resource planning software(erp),141
135,software development and design,142
136,software,142
137,healthcare software,142
138,computer software,144
139,oil and energy,145
140,computer software,146
141,marketing and advertising,147
142,marketing and advertising,148
143,education management,149
144,computer software,151
145,computer software,152
146,internet,153
147,international trade and development,155
148,information technology and services,156
149,computer software,157
150,computer and network security,158
151,insurance,159
152,hospitals and clinics,159
153,healthcare,159
154,telecommunications,160
155,internet,161
156,computer software,162
157,internet,164
158,information technology and services,165
159,membership organizations,166
160,organizations,166
161,custom software and technical consulting,166
162,software,166
163,marketing and advertising,167
164,computer software,168
165,computer software,170
166,real estate,171
167,computer software,172
168,computer software,173
169,education management,174
170,information technology and services,175
171,online media,176
172,"
biotechnology",177
173,information technology ,178
174,marketing and advertising,179
175,financial services,181
176,computer software,185
177,consumer services,186
178,internet,187
179,commercial and residential construction,189
180,construction,189
181,internet,190
182,"internet
",191
183,computer software,193
184,financial services,194
185,restaurants,196
186,information technology and services,197
187,computer software,199
188,leisure,200
189, travel and tourism,200
190,computer software,201
191,apparel and fashion,202
192,financial services,203
193,e-learning,204
194,internet,206
195,computer software,207
196,computer software,208
197,information technology and services,209
198,computer software,210
199,computer games,211
200,veterinary,212
201,information technology and services,213
202,education,214
203,computer games,215
204,consumer electronics,216
205,consumer goods,216
206,manufacturing,216
207,boats and submarines,216
208,commercial and residential construction,216
209,water and water treatment,216
210,construction,216
211,energy,216
212, utilities and waste treatment,216
213,semiconductor and semiconductor equipment,216
214,electronics,216
215,investment banking,217
216,computer software,218
217,media production,219
218,entertainment,220
219,computer software,221
220,airlines/aviation,222
221,internet,223
222,banking,224
223,media production,225
224,marketing and advertising,227
225,computer software,228
226,information technology and services,229
227,computer software,230
228,defense and space,231
229,transportation/trucking/railroad,232
230,broadcast media,234
231,internet,235
232,biotechnology,237
233,computer hardware,238
234,entertainment,239
235,marketing and advertising,241
236,entertainment,242
237,computer software,243
238,financial services,244
239,government administration,245
240,design,246
241,computer software,247
242,computer software,248
243,government administration,249
244,education management,251
245,education management,252
246,internet,253
247,computer software,254
248,computer software,255
249,information technology and services,256
250,information technology and services,257
251,information technology and services,258
252,health,259
253, wellness and fitness,259
254,internet,260
255,computer software,261
256,computer software,263
257,computer software,264
258,museums and institutions,265
259,engineering software,266
260,software development and design,266
261,software,266
262,fund raising,267
263,publishing,268
264,information technology and services,269
265,computer software,270
266,computer software,271
267,computer software,272
268,internet,273
269,accounting,274
270,computer software,276
271,internet,277
272,computer networking,279
273,"financial services
",280
274,computer software,281
275,internet,282
276,computer software,284
277,"government administration
",285
278,leisure,286
279," travel and tourism
",286
280,restaurants,287
281,oil and energy,288
282,"legal services
",289
283,supermarkets,290
284,internet,291
285,"information technology and services
",292
286,retail,293
287,"computer games
",294
288,internet,295
289,"industrial automation
",296
290,internet,297
291,software development and design,298
292,software,298
293,engineering software,298
294,business intelligence software(bi),298
295,enterprise resource planning software(erp),298
296,information technology and services,299
297,"information technology and services
",300
298,music,302
299,computer software,303
300,"information technology and services
",304
301,"online media
",305
302,internet,306
303,telecommunications,307
304,internet,308
